Assuming 9 as type relation
Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 272115 facts in 2.52 s using -48 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.7
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  /location/location/contains  ?h  ?h  /organization/organization/headquarters./location/mailing_address/country  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.093442623	0.7125	1	57	80	57	-1
?g  /base/biblioness/bibs_location/country  ?b  ?g  /location/hud_county_place/county  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.01147541	0.078651685	1	7	89	7	-1
?g  /base/biblioness/bibs_location/country  ?b  ?g  /location/location/contains  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.340983607	0.139878951	0.949771689	208	1487	219	-1
?a  /base/biblioness/bibs_location/state  ?h  ?h  /location/administrative_division/first_level_division_of  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.303278689	0.783898305	1	185	236	185	-1
?h  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?a  /base/biblioness/bibs_location/state  ?h   => ?a  /base/biblioness/bibs_location/country  ?b	0.275409836	0.760180995	0.98245614	168	221	171	-1
?g  /music/artist/origin  ?a  ?g  /people/person/nationality  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.132786885	0.368181818	0.757009346	81	220	107	-1
?g  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?a  ?g  /people/person/nationality  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.018032787	0.229166667	1	11	48	11	-1
?g  /people/deceased_person/place_of_burial  ?a  ?g  /people/person/nationality  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.01147541	0.134615385	0.7	7	52	10	-1
?a  /base/biblioness/bibs_location/state  ?h  ?h  /location/administrative_division/country  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.278688525	0.776255708	0.988372093	170	219	172	-1
?g  /base/aareas/schema/administrative_area/capital  ?a  ?g  /location/administrative_division/country  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.096721311	0.608247423	1	59	97	59	-1
?g  /base/biblioness/bibs_location/state  ?a  ?g  /location/administrative_division/country  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.019672131	0.666666667	0.857142857	12	18	14	-1
?g  /location/administrative_division/country  ?b  ?g  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.124590164	0.393782383	0.817204301	76	193	93	-1
?g  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?g  /base/aareas/schema/administrative_area/capital  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.08852459	0.551020408	0.885245902	54	98	61	-1
?g  /base/aareas/schema/administrative_area/administrative_parent  ?b  ?g  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.113114754	0.158986175	0.734042553	69	434	94	-1
?g  /location/administrative_division/country  ?b  ?g  /location/location/contains  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.396721311	0.163734777	0.920152091	242	1478	263	-1
?g  /dataworld/gardening_hint/split_to  ?b  ?g  /location/country/second_level_divisions  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.049180328	0.078328982	0.731707317	30	383	41	-1
?g  /location/administrative_division/first_level_division_of  ?b  ?g  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.114754098	0.472972973	0.804597701	70	148	87	-1
?g  /base/aareas/schema/administrative_area/capital  ?a  ?g  /location/administrative_division/first_level_division_of  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.060655738	0.587301587	1	37	63	37	-1
?g  /dataworld/gardening_hint/split_to  ?b  ?g  /location/location/contains  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.38852459	0.217032967	0.918604651	237	1092	258	-1
?g  /location/administrative_division/first_level_division_of  ?b  ?g  /location/location/contains  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.393442623	0.169014085	0.875912409	240	1420	274	-1
?g  /organization/organization/headquarters./location/mailing_address/citytown  ?a  ?g  /organization/organization/headquarters./location/mailing_address/country  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.067213115	0.488095238	0.745454545	41	84	55	-1
?g  /organization/organization/headquarters./location/mailing_address/country  ?b  ?g  /organization/organization/place_founded  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.013114754	0.5	0.888888889	8	16	9	-1
?g  /organization/organization/headquarters./location/mailing_address/country  ?b  ?g  /organization/organization/headquarters./location/mailing_address/state_province_region  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.044262295	0.9	1	27	30	27	-1
?a  /dataworld/gardening_hint/split_to  ?h  ?h  /people/ethnicity/languages_spoken  ?b   => ?a  /people/ethnicity/languages_spoken  ?b	0.010416667	0.5	1	2	4	2	-1
?a  /dataworld/gardening_hint/split_to  ?h  ?b  /language/human_language/countries_spoken_in  ?h   => ?a  /people/ethnicity/languages_spoken  ?b	0.010416667	0.111111111	1	2	18	2	-1
?a  /dataworld/gardening_hint/split_to  ?h  ?h  /education/educational_degree/people_with_this_degree./education/education/student  ?b   => ?a  /education/educational_degree/people_with_this_degree./education/education/student  ?b	0.011538462	1	1	3	3	3	-2
?g  /dataworld/gardening_hint/split_to  ?a  ?g  /education/educational_degree/people_with_this_degree./education/education/student  ?b   => ?a  /education/educational_degree/people_with_this_degree./education/education/student  ?b	0.011538462	1	1	3	3	3	-2
?g  /dataworld/gardening_hint/split_to  ?a  ?g  /people/ethnicity/languages_spoken  ?b   => ?a  /people/ethnicity/languages_spoken  ?b	0.010416667	0.4	1	2	5	2	-1
?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?h  ?b  /education/educational_institution/campuses  ?h   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.163487738	1	1	120	120	120	-2
?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?h  ?b  /dataworld/gardening_hint/split_to  ?h   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.024523161	0.857142857	1	18	21	18	-2
?g  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b  ?a  /dataworld/gardening_hint/split_to  ?g   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.119891008	0.830188679	0.830188679	88	106	106	-2
?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?h  ?b  /education/educational_institution_campus/educational_institution  ?h   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.153950954	1	1	113	113	113	-2
?g  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b  ?g  /dataworld/gardening_hint/split_to  ?a   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.119891008	1	1	88	88	88	-2
?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?g  ?g  /education/educational_institution/campuses  ?b   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.163487738	1	1	120	120	120	-2
?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?g  ?g  /dataworld/gardening_hint/split_to  ?b   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.024523161	0.692307692	1	18	26	18	-2
?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?g  ?g  /education/educational_institution_campus/educational_institution  ?b   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.153950954	1	1	113	113	113	-2
?a  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?b  ?b  /film/film/production_companies  ?a   => ?a  /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film  ?b	0.046213094	0.662576687	0.76056338	108	163	142	-2
?a  /location/hud_county_place/place  ?h  ?h  /sports/sports_team_location/teams  ?b   => ?a  /sports/sports_team_location/teams  ?b	0.253776435	1	1	84	84	84	-2
?a  /location/hud_county_place/county  ?h  ?h  /sports/sports_team_location/teams  ?b   => ?a  /sports/sports_team_location/teams  ?b	0.021148036	1	1	7	7	7	-2
?g  /location/hud_county_place/place  ?a  ?g  /sports/sports_team_location/teams  ?b   => ?a  /sports/sports_team_location/teams  ?b	0.253776435	1	1	84	84	84	-2
?g  /location/us_county/county_seat  ?a  ?g  /sports/sports_team_location/teams  ?b   => ?a  /sports/sports_team_location/teams  ?b	0.01510574	1	1	5	5	5	-2
?a  /influence/influence_node/influenced_by  ?h  ?h  /people/person/gender  ?b   => ?a  /people/person/gender  ?b	0.099273608	0.748478702	0.891304348	369	493	414	-1
?a  /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend  ?h  ?h  /people/person/gender  ?b   => ?a  /people/person/gender  ?b	0.025020178	0.58490566	0.704545455	93	159	132	-1
?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?h  ?h  /people/person/gender  ?b   => ?a  /people/person/gender  ?b	0.022329836	0.768518519	0.902173913	83	108	92	-1
?h  /people/person/gender  ?b  ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?h   => ?a  /people/person/gender  ?b	0.018832392	0.707070707	0.864197531	70	99	81	-1
?g  /influence/influence_node/influenced_by  ?a  ?g  /people/person/gender  ?b   => ?a  /people/person/gender  ?b	0.082862524	0.703196347	0.834688347	308	438	369	-1
?g  /influence/influence_node/peers./influence/peer_relationship/peers  ?a  ?g  /people/person/gender  ?b   => ?a  /people/person/gender  ?b	0.023675007	0.771929825	0.907216495	88	114	97	-1
?g  /people/person/gender  ?b  ?g  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /people/person/gender  ?b	0.018832392	0.707070707	0.864197531	70	99	81	-1
?a  /film/film/costume_design_by  ?b  ?a  /film/film/edited_by  ?b   => ?a  /film/film/film_production_design_by  ?b	0.012658228	0.666666667	1	2	3	2	-1
?h  /film/film/film_production_design_by  ?b  ?a  /film/film/prequel  ?h   => ?a  /film/film/film_production_design_by  ?b	0.056962025	0.473684211	0.9	9	19	10	-1
?h  /film/film/edited_by  ?b  ?a  /film/film/prequel  ?h   => ?a  /film/film/film_production_design_by  ?b	0.018987342	0.157894737	0.75	3	19	4	-1
?g  /film/film/film_production_design_by  ?b  ?g  /film/film/prequel  ?a   => ?a  /film/film/film_production_design_by  ?b	0.063291139	0.476190476	0.909090909	10	21	11	-1
?g  /film/film/edited_by  ?b  ?g  /film/film/prequel  ?a   => ?a  /film/film/film_production_design_by  ?b	0.025316456	0.210526316	1	4	19	4	-1
?a  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?h  ?b  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?h   => ?a  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?b	1	0.75	0.75	108	144	144	-1
?h  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?b  ?a  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?h   => ?a  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?b	1	0.75	0.75	108	144	144	-1
?h  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?a  ?b  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?h   => ?a  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?b	1	0.75	0.75	108	144	144	-1
?g  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?a  ?g  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?b   => ?a  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?b	1	0.75	0.75	108	144	144	-1
?g  /travel/travel_destination/climate./travel/travel_destination_monthly_climate/month  ?a  ?g  /travel/travel_destination/climate./travel/travel_destination_monthly_climate/month  ?b   => ?a  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?b	1	0.75	0.75	108	144	144	-1
?a  /people/person/employment_history./business/employment_tenure/company  ?b  ?a  /people/person/nationality  ?b   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.066037736	0.636363636	0.875	7	11	8	-1
?b  /location/country/capital  ?h  ?a  /people/deceased_person/place_of_death  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.037735849	0.020833333	0.8	4	192	5	-1
?b  /dataworld/gardening_hint/split_to  ?h  ?a  /people/person/employment_history./business/employment_tenure/company  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.122641509	0.481481481	0.866666667	13	27	15	-1
?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?h  ?b  /location/hud_county_place/place  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.018867925	1	1	2	2	2	-1
?b  /location/country/second_level_divisions  ?h  ?a  /people/person/places_lived./people/place_lived/location  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.056603774	0.013303769	0.857142857	6	451	7	-1
?b  /location/country/second_level_divisions  ?h  ?a  /people/deceased_person/place_of_death  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.018867925	0.043478261	1	2	46	2	-1
?h  /dataworld/gardening_hint/split_to  ?b  ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.424528302	0.9375	0.9375	45	48	48	-1
?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?h  ?h  /location/hud_county_place/place  ?b   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.018867925	1	1	2	2	2	-1
?h  /dataworld/gardening_hint/split_to  ?b  ?a  /people/person/nationality  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.349056604	0.012776243	0.822222222	37	2896	45	-1
?h  /location/administrative_division/country  ?b  ?a  /people/person/nationality  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.028301887	0.007281553	1	3	412	3	-1
?h  /base/biblioness/bibs_location/country  ?b  ?a  /people/person/nationality  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.018867925	0.019230769	1	2	104	2	-1
?h  /location/administrative_division/first_level_division_of  ?b  ?a  /people/person/nationality  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.028301887	0.007025761	1	3	427	3	-1
?h  /location/administrative_division/country  ?b  ?a  /people/person/place_of_birth  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.037735849	0.007619048	0.8	4	525	5	-1
?h  /base/biblioness/bibs_location/country  ?b  ?a  /people/person/place_of_birth  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.103773585	0.007735584	0.785714286	11	1422	14	-1
?h  /location/administrative_division/country  ?b  ?a  /people/deceased_person/place_of_death  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.047169811	0.034013605	0.833333333	5	147	6	-1
?h  /base/biblioness/bibs_location/country  ?b  ?a  /people/deceased_person/place_of_death  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.103773585	0.025345622	0.916666667	11	434	12	-1
?h  /organization/organization/headquarters./location/mailing_address/country  ?b  ?a  /organization/organization_member/member_of./organization/organization_membership/organization  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.028301887	0.050847458	1	3	59	3	-1
?h  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b  ?a  /influence/influence_node/influenced_by  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.028301887	0.142857143	0.75	3	21	4	-1
?h  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b  ?a  /people/person/spouse_s./people/marriage/spouse  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.018867925	0.285714286	1	2	7	2	-1
?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?h  ?h  /people/person/nationality  ?b   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.018867925	0.014814815	1	2	135	2	-1
?h  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b  ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.028301887	1	1	3	3	3	-1
?h  /people/person/nationality  ?b  ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.028301887	0.027027027	1	3	111	3	-1
?h  /people/person/employment_history./business/employment_tenure/company  ?b  ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.018867925	0.117647059	1	2	17	2	-1
?h  /base/biblioness/bibs_location/country  ?b  ?a  /people/person/places_lived./people/place_lived/location  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.264150943	0.016045845	0.7	28	1745	40	-1
?h  /location/administrative_division/country  ?b  ?a  /people/person/places_lived./people/place_lived/location  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.245283019	0.025490196	0.8125	26	1020	32	-1
?h  /dataworld/gardening_hint/split_to  ?b  ?a  /people/person/employment_history./business/employment_tenure/company  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.122641509	0.448275862	0.866666667	13	29	15	-1
?h  /organization/organization/headquarters./location/mailing_address/country  ?b  ?a  /people/person/employment_history./business/employment_tenure/company  ?h   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.028301887	0.085714286	0.75	3	35	4	-1
?g  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b  ?g  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.028301887	1	1	3	3	3	-1
?g  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b  ?g  /influence/influence_node/influenced_by  ?a   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.028301887	0.142857143	1	3	21	3	-1
?a  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?h  ?h  /people/person/nationality  ?b   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.028301887	0.000604595	0.75	3	4962	4	-1
?g  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b  ?g  /people/person/spouse_s./people/marriage/spouse  ?a   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.018867925	0.285714286	1	2	7	2	-1
?g  /people/ethnicity/geographic_distribution  ?b  ?g  /people/ethnicity/people  ?a   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.169811321	0.014962594	0.72	18	1203	25	-1
?g  /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location  ?b  ?g  /education/educational_institution/students_graduates./education/education/student  ?a   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.113207547	0.033519553	0.8	12	358	15	-1
?g  /people/person/nationality  ?b  ?g  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.028301887	0.027272727	1	3	110	3	-1
?g  /people/person/employment_history./business/employment_tenure/company  ?b  ?g  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.018867925	0.111111111	1	2	18	2	-1
?g  /education/educational_institution/students_graduates./education/education/student  ?a  ?g  /organization/organization/headquarters./location/mailing_address/country  ?b   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.113207547	0.02962963	0.857142857	12	405	14	-1
?b  /film/film/prequel  ?h  ?a  /film/film_subject/films  ?h   => ?a  /film/film_subject/films  ?b	0.033167496	0.357142857	0.869565217	20	56	23	-2
?g  /film/film_subject/films  ?b  ?a  /film/film_subject/films  ?g   => ?a  /film/film_subject/films  ?b	0.018242123	1	1	11	11	11	-2
?a  /film/film_subject/films  ?g  ?g  /media_common/netflix_genre/titles  ?b   => ?a  /film/film_subject/films  ?b	0.011608624	0.777777778	1	7	9	7	-2
?h  /film/film/prequel  ?b  ?a  /film/film_subject/films  ?h   => ?a  /film/film_subject/films  ?b	0.033167496	0.465116279	0.8	20	43	25	-2
?h  /people/person/religion  ?b  ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?h   => ?a  /people/person/religion  ?b	0.012903226	0.411764706	0.933333333	14	34	15	-1
?g  /people/person/religion  ?b  ?g  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /people/person/religion  ?b	0.012903226	0.388888889	0.875	14	36	16	-1
?b  /film/actor/film./film/performance/film  ?a  ?a  /film/film/story_by  ?b   => ?a  /film/film/written_by  ?b	0.029224905	0.621621622	0.851851852	23	37	27	-1
?b  /film/actor/film./film/performance/film  ?a  ?b  /film/director/film  ?a   => ?a  /film/film/written_by  ?b	0.078780178	0.5	0.746987952	62	124	83	-1
?a  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?b  ?b  /film/director/film  ?a   => ?a  /film/film/written_by  ?b	0.15501906	0.437275986	0.757763975	122	279	161	-1
?b  /film/director/film  ?a  ?a  /film/film/edited_by  ?b   => ?a  /film/film/written_by  ?b	0.027954257	0.709677419	0.916666667	22	31	24	-1
?b  /film/director/film  ?a  ?a  /film/film/story_by  ?b   => ?a  /film/film/written_by  ?b	0.024142313	0.441860465	0.791666667	19	43	24	-1
?a  /film/film/edited_by  ?b  ?a  /film/film/produced_by  ?b   => ?a  /film/film/written_by  ?b	0.021601017	0.85	0.894736842	17	20	19	-1
?a  /film/film/produced_by  ?b  ?a  /film/film/story_by  ?b   => ?a  /film/film/written_by  ?b	0.022871665	0.5	0.72	18	36	25	-1
?a  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?b  ?a  /film/film/story_by  ?b   => ?a  /film/film/written_by  ?b	0.033036849	0.604651163	0.866666667	26	43	30	-1
?b  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?a  ?a  /film/film/story_by  ?b   => ?a  /film/film/written_by  ?b	0.050825921	0.571428571	0.754716981	40	70	53	-1
?a  /film/film/edited_by  ?h  ?b  /people/person/sibling_s./people/sibling_relationship/sibling  ?h   => ?a  /film/film/written_by  ?b	0.017789072	0.875	0.875	14	16	16	-1
?a  /film/film/edited_by  ?h  ?h  /people/person/sibling_s./people/sibling_relationship/sibling  ?b   => ?a  /film/film/written_by  ?b	0.017789072	0.875	0.875	14	16	16	-1
?g  /film/film/prequel  ?a  ?g  /film/film/written_by  ?b   => ?a  /film/film/written_by  ?b	0.052096569	0.532467532	0.759259259	41	77	54	-1
?b  /sports/sports_position/players./american_football/football_historical_roster_position/position_s  ?a  ?a  /sports/sports_position/players./american_football/football_historical_roster_position/position_s  ?b   => ?a  /sports/sports_position/players./sports/sports_team_roster/position  ?b	0.536	0.858974359	0.858974359	67	78	78	-1
?b  /organization/organization_member/member_of./organization/organization_membership/organization  ?h  ?a  /user/ktrueman/default_domain/international_organization/member_states  ?h   => ?a  /user/ktrueman/default_domain/international_organization/member_states  ?b	0.072625698	0.722222222	0.722222222	13	18	18	-2
?b  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?h  ?a  /user/ktrueman/default_domain/international_organization/member_states  ?h   => ?a  /user/ktrueman/default_domain/international_organization/member_states  ?b	0.765363128	0.437699681	0.778409091	137	313	176	-2
?b  /dataworld/gardening_hint/split_to  ?h  ?a  /user/ktrueman/default_domain/international_organization/member_states  ?h   => ?a  /user/ktrueman/default_domain/international_organization/member_states  ?b	0.016759777	0.125	1	3	24	3	-2
?g  /user/ktrueman/default_domain/international_organization/member_states  ?b  ?a  /user/ktrueman/default_domain/international_organization/member_states  ?g   => ?a  /user/ktrueman/default_domain/international_organization/member_states  ?b	0.089385475	0.761904762	0.761904762	16	21	21	-2
?g  /location/location/adjoin_s./location/adjoining_relationship/adjoins  ?b  ?a  /user/ktrueman/default_domain/international_organization/member_states  ?g   => ?a  /user/ktrueman/default_domain/international_organization/member_states  ?b	0.776536313	0.448387097	0.763736264	139	310	182	-2
?h  /dataworld/gardening_hint/split_to  ?b  ?a  /user/ktrueman/default_domain/international_organization/member_states  ?h   => ?a  /user/ktrueman/default_domain/international_organization/member_states  ?b	0.016759777	1	1	3	3	3	-2
?a  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b  ?b  /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor  ?a   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.04797048	0.342105263	0.722222222	13	38	18	-1
?a  /tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program  ?b  ?b  /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor  ?a   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.018450185	0.185185185	0.714285714	5	27	7	-1
?a  /tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program  ?b  ?b  /tv/tv_program/program_creator  ?a   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.011070111	0.6	0.75	3	5	4	-1
?a  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?b  ?b  /tv/tv_program/program_creator  ?a   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.114391144	0.397435897	0.704545455	31	78	44	-1
?a  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?b  ?a  /tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.018450185	0.192307692	0.833333333	5	26	6	-1
?a  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?b  ?a  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.254612546	0.285123967	0.711340206	69	242	97	-1
?b  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?a  ?a  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.162361624	0.289473684	0.733333333	44	152	60	-1
?b  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?a  ?a  /tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.018450185	0.3125	1	5	16	5	-1
